 Temperature cover,temperature fluid,Relative humidity,condensation,hum_ratio,minute time 
272.851,273.866,0.929015,0.00373574,0.0143535,57
272.847,273.845,0.930205,0.00373468,0.0143758,58
272.844,273.824,0.931353,0.00373367,0.0143973,59
272.84,273.804,0.932458,0.00373269,0.0144179,60
272.837,273.785,0.933524,0.00373175,0.0144376,61
272.833,273.766,0.934552,0.00373085,0.0144566,62
272.83,273.748,0.935542,0.00372999,0.0144749,63
272.827,273.731,0.936497,0.00372916,0.0144924,64
272.824,273.715,0.937418,0.00372837,0.0145092,65
272.821,273.699,0.938305,0.0037276,0.0145253,66
272.819,273.683,0.939161,0.00372687,0.0145409,67
272.816,273.669,0.939986,0.00372617,0.0145558,68
272.814,273.654,0.940782,0.00372549,0.0145701,69
272.811,273.641,0.941549,0.00372484,0.0145838,70
272.809,273.628,0.942289,0.00372421,0.0145971,71
272.807,273.615,0.943003,0.00372361,0.0146098,72
272.805,273.603,0.943691,0.00372304,0.014622,73
272.803,273.591,0.944355,0.00372248,0.0146337,74
272.801,273.58,0.944996,0.00372195,0.0146449,75
272.799,273.569,0.945614,0.00372144,0.0146557,76
272.797,273.558,0.946211,0.00372094,0.0146661,77
272.795,273.548,0.946786,0.00372047,0.0146761,78
272.794,273.538,0.947342,0.00372001,0.0146857,79
272.792,273.529,0.947878,0.00371958,0.0146949,80
272.79,273.52,0.948396,0.00371915,0.0147037,81
272.789,273.511,0.948896,0.00371875,0.0147121,82
272.787,273.502,0.94938,0.00371836,0.0147202,83
272.786,273.494,0.949847,0.00371798,0.0147279,84
272.785,273.486,0.950298,0.00371762,0.0147355,85
272.783,273.479,0.950733,0.00371727,0.0147429,86
272.782,273.471,0.951153,0.00371693,0.0147501,87
272.781,273.464,0.951559,0.00371661,0.014757,88
272.78,273.457,0.95195,0.00371629,0.0147637,89
272.779,273.451,0.952328,0.00371599,0.0147701,90
272.778,273.444,0.952693,0.0037157,0.0147764,91
272.777,273.438,0.953044,0.00371542,0.0147824,92
272.776,273.432,0.953384,0.00371515,0.0147882,93
272.775,273.427,0.953711,0.00371489,0.0147938,94
272.774,273.421,0.954027,0.00371464,0.0147992,95
272.773,273.416,0.954332,0.0037144,0.0148045,96
272.772,273.411,0.954626,0.00371417,0.0148095,97
272.771,273.406,0.95491,0.00371395,0.0148144,98
272.77,273.401,0.955183,0.00371373,0.0148191,99
272.77,273.397,0.955447,0.00371352,0.0148236,100
272.769,273.392,0.955702,0.00371332,0.014828,101
272.768,273.388,0.955948,0.00371313,0.0148322,102
272.768,273.384,0.956184,0.00371295,0.0148363,103
272.767,273.38,0.956413,0.00371277,0.0148402,104
272.766,273.376,0.956633,0.0037126,0.014844,105
272.766,273.372,0.956846,0.00371243,0.0148476,106
272.765,273.369,0.957051,0.00371227,0.0148511,107
272.765,273.365,0.957249,0.00371212,0.0148545,108
272.764,273.362,0.957439,0.00371197,0.0148578,109
272.763,273.359,0.957623,0.00371183,0.014861,110
272.763,273.356,0.9578,0.00371169,0.014864,111
272.763,273.353,0.957971,0.00371156,0.014867,112
272.762,273.35,0.958136,0.00371143,0.0148698,113
272.762,273.347,0.958296,0.00371131,0.0148725,114
272.761,273.345,0.958449,0.00371119,0.0148751,115
272.761,273.342,0.958597,0.00371108,0.0148777,116
272.76,273.34,0.95874,0.00371097,0.0148801,117
272.76,273.337,0.958877,0.00371086,0.0148825,118
272.76,273.335,0.95901,0.00371076,0.0148848,119
272.759,273.333,0.959138,0.00371066,0.014887,120
272.759,273.331,0.959261,0.00371057,0.0148891,121
272.759,273.329,0.95938,0.00371047,0.0148911,122
272.758,273.327,0.959495,0.00371039,0.0148931,123
272.758,273.325,0.959605,0.0037103,0.014895,124
272.758,273.323,0.959712,0.00371022,0.0148968,125
272.757,273.321,0.959815,0.00371014,0.0148986,126
272.757,273.32,0.959914,0.00371007,0.0149003,127
272.757,273.318,0.96001,0.00370999,0.0149019,128
272.756,273.316,0.960102,0.00370992,0.0149035,129
272.756,273.315,0.960191,0.00370985,0.014905,130
272.756,273.313,0.960277,0.00370979,0.0149065,131
272.756,273.312,0.96036,0.00370973,0.0149079,132
272.756,273.311,0.960439,0.00370967,0.0149093,133
272.755,273.309,0.960516,0.00370961,0.0149106,134
272.755,273.308,0.96059,0.00370955,0.0149119,135
272.755,273.307,0.960662,0.0037095,0.0149131,136
272.755,273.306,0.960731,0.00370944,0.0149143,137
272.755,273.304,0.960797,0.00370939,0.0149154,138
272.754,273.303,0.960861,0.00370935,0.0149165,139
272.754,273.302,0.960923,0.0037093,0.0149176,140
272.754,273.301,0.960983,0.00370925,0.0149186,141
272.754,273.3,0.96104,0.00370921,0.0149196,142
272.754,273.299,0.961096,0.00370917,0.0149205,143
272.754,273.298,0.961149,0.00370913,0.0149214,144
272.753,273.297,0.961201,0.00370909,0.0149223,145
272.753,273.297,0.96125,0.00370905,0.0149232,146
272.753,273.296,0.961298,0.00370901,0.014924,147
272.753,273.295,0.961344,0.00370898,0.0149248,148
272.753,273.294,0.961389,0.00370895,0.0149255,149
272.753,273.294,0.961432,0.00370891,0.0149263,150
272.753,273.293,0.961473,0.00370888,0.014927,151
272.753,273.292,0.961513,0.00370885,0.0149277,152
272.752,273.291,0.961552,0.00370882,0.0149283,153
272.752,273.291,0.961589,0.00370879,0.0149289,154
272.752,273.29,0.961625,0.00370877,0.0149296,155
272.752,273.29,0.961659,0.00370874,0.0149301,156
272.752,273.289,0.961692,0.00370872,0.0149307,157
272.752,273.288,0.961724,0.00370869,0.0149313,158
272.752,273.288,0.961755,0.00370867,0.0149318,159
272.752,273.287,0.961785,0.00370865,0.0149323,160
272.752,273.287,0.961814,0.00370862,0.0149328,161
272.752,273.286,0.961842,0.0037086,0.0149333,162
272.752,273.286,0.961868,0.00370858,0.0149337,163
272.751,273.286,0.961894,0.00370856,0.0149342,164
272.751,273.285,0.961919,0.00370855,0.0149346,165
272.751,273.285,0.961943,0.00370853,0.014935,166
272.751,273.284,0.961966,0.00370851,0.0149354,167
272.751,273.284,0.961988,0.00370849,0.0149358,168
272.751,273.284,0.96201,0.00370848,0.0149361,169
272.751,273.283,0.962031,0.00370846,0.0149365,170
272.751,273.283,0.96205,0.00370845,0.0149368,171
272.751,273.283,0.96207,0.00370843,0.0149372,172
272.751,273.282,0.962088,0.00370842,0.0149375,173
272.751,273.282,0.962106,0.0037084,0.0149378,174
272.751,273.282,0.962123,0.00370839,0.0149381,175
272.751,273.281,0.96214,0.00370838,0.0149384,176
272.751,273.281,0.962156,0.00370837,0.0149386,177
272.751,273.281,0.962172,0.00370836,0.0149389,178
272.751,273.281,0.962187,0.00370834,0.0149392,179
272.751,273.28,0.962201,0.00370833,0.0149394,180
272.751,273.28,0.962215,0.00370832,0.0149396,181
272.751,273.28,0.962228,0.00370831,0.0149399,182
272.751,273.28,0.962241,0.0037083,0.0149401,183
272.751,273.279,0.962253,0.00370829,0.0149403,184
272.75,273.279,0.962265,0.00370828,0.0149405,185
272.75,273.279,0.962277,0.00370828,0.0149407,186
272.75,273.279,0.962288,0.00370827,0.0149409,187
272.75,273.279,0.962299,0.00370826,0.0149411,188
272.75,273.278,0.962309,0.00370825,0.0149413,189
272.75,273.278,0.962319,0.00370824,0.0149414,190
272.75,273.278,0.962329,0.00370824,0.0149416,191
272.75,273.278,0.962338,0.00370823,0.0149418,192
272.75,273.278,0.962347,0.00370822,0.0149419,193
272.75,273.278,0.962356,0.00370822,0.0149421,194
272.75,273.278,0.962364,0.00370821,0.0149422,195
272.75,273.277,0.962372,0.0037082,0.0149423,196
272.75,273.277,0.96238,0.0037082,0.0149425,197
272.75,273.277,0.962387,0.00370819,0.0149426,198
272.75,273.277,0.962394,0.00370819,0.0149427,199
272.75,273.277,0.962401,0.00370818,0.0149428,200
272.75,273.277,0.962408,0.00370818,0.014943,201
272.75,273.277,0.962415,0.00370817,0.0149431,202
272.75,273.277,0.962421,0.00370817,0.0149432,203
272.75,273.276,0.962427,0.00370816,0.0149433,204
272.75,273.276,0.962433,0.00370816,0.0149434,205
272.75,273.276,0.962438,0.00370816,0.0149435,206
272.75,273.276,0.962443,0.00370815,0.0149436,207
272.75,273.276,0.962449,0.00370815,0.0149436,208
272.75,273.276,0.962454,0.00370814,0.0149437,209
272.75,273.276,0.962458,0.00370814,0.0149438,210
272.75,273.276,0.962463,0.00370814,0.0149439,211
272.75,273.276,0.962468,0.00370813,0.014944,212
272.75,273.276,0.962472,0.00370813,0.014944,213
272.75,273.276,0.962476,0.00370813,0.0149441,214
272.75,273.276,0.96248,0.00370812,0.0149442,215
272.75,273.276,0.962484,0.00370812,0.0149442,216
272.75,273.275,0.962488,0.00370812,0.0149443,217
272.75,273.275,0.962491,0.00370812,0.0149444,218
272.75,273.275,0.962495,0.00370811,0.0149444,219
272.75,273.275,0.962498,0.00370811,0.0149445,220
272.75,273.275,0.962501,0.00370811,0.0149445,221
272.75,273.275,0.962504,0.00370811,0.0149446,222
272.75,273.275,0.962507,0.0037081,0.0149446,223
272.75,273.275,0.96251,0.0037081,0.0149447,224
272.75,273.275,0.962513,0.0037081,0.0149447,225
272.75,273.275,0.962516,0.0037081,0.0149448,226
272.75,273.275,0.962518,0.00370809,0.0149448,227
272.75,273.275,0.962521,0.00370809,0.0149449,228
272.75,273.275,0.962523,0.00370809,0.0149449,229
272.75,273.275,0.962526,0.00370809,0.014945,230
272.75,273.275,0.962528,0.00370809,0.014945,231
272.75,273.275,0.96253,0.00370809,0.014945,232
272.75,273.275,0.962532,0.00370808,0.0149451,233
272.75,273.275,0.962534,0.00370808,0.0149451,234
272.75,273.275,0.962536,0.00370808,0.0149451,235
272.75,273.275,0.962538,0.00370808,0.0149452,236
272.75,273.275,0.96254,0.00370808,0.0149452,237
272.75,273.275,0.962541,0.00370808,0.0149452,238
272.75,273.274,0.962543,0.00370808,0.0149453,239
272.75,273.274,0.962545,0.00370808,0.0149453,240
272.75,273.274,0.962546,0.00370807,0.0149453,241
272.75,273.274,0.962548,0.00370807,0.0149453,242
272.75,273.274,0.962549,0.00370807,0.0149454,243
272.75,273.274,0.962551,0.00370807,0.0149454,244
272.75,273.274,0.962552,0.00370807,0.0149454,245
272.75,273.274,0.962553,0.00370807,0.0149454,246
272.75,273.274,0.962554,0.00370807,0.0149455,247
272.75,273.274,0.962556,0.00370807,0.0149455,248
272.75,273.274,0.962557,0.00370807,0.0149455,249
272.75,273.274,0.962558,0.00370807,0.0149455,250
272.75,273.274,0.962559,0.00370806,0.0149455,251
272.75,273.274,0.96256,0.00370806,0.0149455,252
272.75,273.274,0.962561,0.00370806,0.0149456,253
272.75,273.274,0.962562,0.00370806,0.0149456,254
272.75,273.274,0.962563,0.00370806,0.0149456,255
272.75,273.274,0.962564,0.00370806,0.0149456,256
272.75,273.274,0.962565,0.00370806,0.0149456,257
272.75,273.274,0.962566,0.00370806,0.0149456,258
272.75,273.274,0.962566,0.00370806,0.0149457,259
272.75,273.274,0.962567,0.00370806,0.0149457,260
272.75,273.274,0.962568,0.00370806,0.0149457,261
272.75,273.274,0.962569,0.00370806,0.0149457,262
272.75,273.274,0.962569,0.00370806,0.0149457,263
272.75,273.274,0.96257,0.00370806,0.0149457,264
272.75,273.274,0.962571,0.00370806,0.0149457,265
272.75,273.274,0.962571,0.00370806,0.0149457,266
272.75,273.274,0.962572,0.00370805,0.0149457,267
272.75,273.274,0.962572,0.00370805,0.0149458,268
272.75,273.274,0.962573,0.00370805,0.0149458,269
272.75,273.274,0.962573,0.00370805,0.0149458,270
272.75,273.274,0.962574,0.00370805,0.0149458,271
272.75,273.274,0.962575,0.00370805,0.0149458,272
272.75,273.274,0.962575,0.00370805,0.0149458,273
272.75,273.274,0.962575,0.00370805,0.0149458,274
272.75,273.274,0.962576,0.00370805,0.0149458,275
272.75,273.274,0.962576,0.00370805,0.0149458,276
272.75,273.274,0.962577,0.00370805,0.0149458,277
272.75,273.274,0.962577,0.00370805,0.0149458,278
272.75,273.274,0.962578,0.00370805,0.0149458,279
272.75,273.274,0.962578,0.00370805,0.0149459,280
272.75,273.274,0.962578,0.00370805,0.0149459,281
272.75,273.274,0.962579,0.00370805,0.0149459,282
272.75,273.274,0.962579,0.00370805,0.0149459,283
272.75,273.274,0.962579,0.00370805,0.0149459,284
272.75,273.274,0.96258,0.00370805,0.0149459,285
272.75,273.274,0.96258,0.00370805,0.0149459,286
272.75,273.274,0.96258,0.00370805,0.0149459,287
272.75,273.274,0.96258,0.00370805,0.0149459,288
272.75,273.274,0.962581,0.00370805,0.0149459,289
272.75,273.274,0.962581,0.00370805,0.0149459,290
272.75,273.274,0.962581,0.00370805,0.0149459,291
272.75,273.274,0.962581,0.00370805,0.0149459,292
272.75,273.274,0.962582,0.00370805,0.0149459,293
272.75,273.274,0.962582,0.00370805,0.0149459,294
272.75,273.274,0.962582,0.00370805,0.0149459,295
272.75,273.274,0.962582,0.00370805,0.0149459,296
272.75,273.274,0.962583,0.00370805,0.0149459,297
272.75,273.274,0.962583,0.00370805,0.0149459,298
272.75,273.274,0.962583,0.00370805,0.0149459,299
